player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Illinhia-Area52,2026/03/26,20:40:00,1774575658-0,[Alncast Riftbloom],249349,item:249349::::::::90:577::150:3:13332:11215:13342:1:28:3607,Personal Loot - Non tradeable,nil,DEMONHUNTER,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,23,,,PL,false,Armor Token,,,Illinhia-Area52
Illinhia-Area52,2026/03/26,21:47:00,1774579748-41,[Twisted Twilight Sash],249314,item:249314::::::::90:268::3:5:6652:12667:13577:13333:12786,Upgrade,0,DEMONHUNTER,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,|cnIQ4:|Hitem:263267::::::::90:268::42:2:13577:12786:1:28:4240:::::|h[Hara'ti Defender's Cord]|h|r,,2,false,Leather,Waist,,Garompinax-Ragnaros
Illinhia-Area52,2026/03/26,22:11:00,1774581171-58,[Tormentor's Bladed Fists],249298,item:249298::::::::90:268::5:3:6652:13334:12794,Upgrade,0,DEMONHUNTER,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,|cnIQ4:|Hitem:237840:8039:::::::90:268::13:8:12214:12497:12066:12693:8960:8791:13622:13667:9:28:3615:29:49:30:40:38:8:40:2746:46:232875:47:245876:48:245790:49:-2147480301:::::|h[Spellbreaker's Warglaive |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,|cnIQ4:|Hitem:249280:8038:::::::90:268::3:3:6652:13333:12790::::::|h[Emblazoned Sunglaive]|h|r,2,false,Fist Weapons,One-Hand,upgrade para offhand champion q tengo,Garompinax-Ragnaros
Illinhia-Area52,2026/03/26,22:13:00,1774581273-63,[Devouring Night's Visage],249306,item:249306::::::::90:268::5:5:6652:12667:13577:13334:12793,BIS,1,DEMONHUNTER,The Voidspire-Heroic,Imperator Averzian,15,2912,26,|cnIQ4:|Hitem:266430:8016:::::::90:268::42:2:13577:12785:1:28:4240:::::|h[Silvermoon Sunguard]|h|r,,1,false,Leather,Head,tengo catalizador para hacer tier con esto y hombros hero,Garompinax-Ragnaros
Luppelock-Illidan,2026/03/26,21:59:00,1774580474-50,[Grimoire of the Eternal Light],249276,item:249276::::::::90:268::5:3:6652:13334:12794,Upgrade,1,WARLOCK,The Voidspire-Heroic,Vorasius,15,2912,26,|cnIQ4:|Hitem:258047:7982:::::::90:268::23:4:13439:6652:12701:12790:1:28:3025:::::|h[Spire of the Furious Construct]|h|r,,2,false,Miscellaneous,Held In Off-hand,,Garompinax-Ragnaros
Luppelock-Illidan,2026/03/26,22:08:00,1774581014-52,[Crown of the Fractured Tyrant],249316,item:249316::::::::90:267::151:6:6652:12667:13577:13333:12786:11215:1:28:3606,Personal Loot - Non tradeable,nil,WARLOCK,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,,,PL,false,Plate,Head,,Luppelock-Illidan
Gármak-Ragnaros,2026/03/26,21:23:00,1774578272-29,[Lightblood Greaves],249311,item:249311::::::::90:268::3:4:6652:13577:13333:12787:1:28:3607,Pass,0,DEATHKNIGHT,The Voidspire-Normal,Lightblinded Vanguard,14,2912,26,|cnIQ4:|Hitem:251118:8162:::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Legplates of Lingering Dusk]|h|r,,PASS,false,Plate,Legs,,Garompinax-Ragnaros
Netsarut-Ragnaros,2026/03/18,23:25:00,1773894311-11,[Correa de los sentenciados],249303,item:249303::::::::90:264::150:6:6652:12667:13577:13332:12779:11215:1:28:3607,Personal Loot - Non tradeable,nil,SHAMAN,The Voidspire-Normal,Lightblinded Vanguard,14,2912,19,,,PL,false,Mail,Waist,,Netsarut-Ragnaros
Dragolon-Ragnaros,2026/03/18,22:53:00,1773892398-0,[Voidcast Unraveled Nullcore],249365,item:249365::::::::90:268::3:3:13346:13340:13333,BIS,2,EVOKER,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,29,|cnIQ4:|Hitem:259938:8030:::::::90:268::42:3:12785:6652:13577:1:28:5236:::::/h[Preyseeker's Rugged Shoulderguards]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/18,23:17:00,1773893820-9,[Nullwalker's Dread Epaulettes],249318,item:249318::::::::90:268::3:4:6652:13577:13333:12787,Upgrade,0,EVOKER,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:259938:8030:::::::90:268::42:3:12785:6652:13577:1:28:5236:::::|h[Preyseeker's Rugged Shoulderguards]|h|r,,2,false,Mail,Shoulder,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/18,23:47:00,1773895719-0,[Alncast Riftbloom],249349,item:249349::::::::90:268::3:2:13333:13346,BIS,1,EVOKER,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:259933:8012:::::::90:268::29:3:42:13577:12782:1:28:5223:::::|h[Preyseeker's Rugged Haubergeon]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/26,20:42:00,1774575834-5,[Dream-Scorched Striders],249373,item:249373::::::::90:268::3:4:6652:13577:13333:12786,Disenchant,0,EVOKER,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,23,|cnIQ4:|Hitem:251084:7993:::::::90:268::33:5:12794:13440:6652:13577:12699:1:28:1279:::::|h[Whipcoil Sabatons]|h|r,,1,true,Cloth,Feet,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/26,21:01:00,1774576942-9,[Light-Judged Spaulders],249313,item:249313::::::::90:268::3:4:6652:13577:13333:12785,Disenchant,0,EVOKER,The Voidspire-Normal,Imperator Averzian,14,2912,26,|cnIQ4:|Hitem:249995:8001:::::::90:268::3:5:13333:13340:6652:13574:12790:1:28:1040:::::|h[Beacons of the Black Talon]|h|r,,1,true,Plate,Shoulder,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/26,21:05:00,1774577218-15,[Frenzy's Rebuke],249317,item:249317::::::::90:268::3:5:6652:12667:13577:13333:12786,Disenchant,0,EVOKER,The Voidspire-Normal,Vorasius,14,2912,26,|cnIQ4:|Hitem:249997:7961:::::::90:268::42:4:12790:13338:13575:3148::::::|h[Hornhelm of the Black Talon]|h|r,,1,true,Mail,Head,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/26,21:07:00,1774577334-21,[Crown of the Fractured Tyrant],249316,item:249316::::::::90:268::3:5:6652:12667:13577:13333:12786,Disenchant,0,EVOKER,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,26,|cnIQ4:|Hitem:249997:7961:::::::90:268::42:4:12790:13338:13575:3148::::::|h[Hornhelm of the Black Talon]|h|r,,1,true,Plate,Head,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/26,21:38:00,1774579205-37,[Turalyon's False Echo],249295,item:249295::::::::90:268::3:3:6652:13333:12788:1:28:3608,Disenchant,0,EVOKER,The Voidspire-Normal,Crown of the Cosmos,14,2912,26,|cnIQ4:|Hitem:245770:8041:::::::90:268::13:8:12214:12497:12066:12693:8960:8791:13622:13667:9:28:3615:29:32:30:49:38:8:40:2907:45:232875:46:245876:47:245790:48:-2147480301:::::/h[Aln'hara Cane |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,,1,true,One-Handed Maces,One-Hand,,Garompinax-Ragnaros
Dragolon-Ragnaros,2026/03/26,21:38:00,1774579213-38,[Untethered Berserker's Grips],249325,item:249325::::::::90:268::3:4:6652:13577:13333:12788:1:28:3608,BIS,0,EVOKER,The Voidspire-Normal,Crown of the Cosmos,14,2912,26,|cnIQ4:|Hitem:251089::::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Grips of Forgotten Honor]|h|r,,1,false,Mail,Hands,,Garompinax-Ragnaros
Hoshishirorz-Ragnaros,2026/03/26,21:59:00,1774580445-49,[Hungering Victory],249925,item:249925::::::::90:268::5:3:6652:13334:12794,Off spec,0,HUNTER,The Voidspire-Heroic,Vorasius,15,2912,26,|cnIQ4:|Hitem:265337:8039:::::::90:268::13:6:12214:12497:12066:8791:13621:13667:8:28:3615:29:32:30:40:38:8:40:2909:45:232875:47:245790:48:-2147480303:::::|h[Aln'hara Sprigshot |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,,3,false,Daggers,One-Hand,,Garompinax-Ragnaros
Faithis-Stormrage,2026/03/18,23:05:00,1773893108-5,[Volatile Void Suffuser],249341,item:249341::::::::90:268::3:3:40:13333:12786,Upgrade,0,DRUID,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,29,|cnIQ4:|Hitem:250253::::::::90:268::23:4:12785:13439:6652:12699:1:28:3025:::::|h[Whisper of the Duskwraith]|h|r,|cnIQ4:|Hitem:250246::::::::90:268::23:4:13439:42:12699:12782:1:28:3025:::::|h[Refueling Orb]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Faithis-Stormrage,2026/03/18,23:26:00,1773894369-17,[Litany of Lightblind Wrath],249808,item:249808::::::::90:268::3:3:6652:13333:12787:1:28:3607,BIS,0,DRUID,The Voidspire-Normal,Lightblinded Vanguard,14,2912,29,|cnIQ4:|Hitem:249341::::::::90:268::3:3:40:13333:12786::::::|h[Volatile Void Suffuser]|h|r,|cnIQ4:|Hitem:250246::::::::90:268::23:4:13439:42:12699:12782:1:28:3025:::::|h[Refueling Orb]|h|r,1,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Faithis-Stormrage,2026/03/26,20:41:00,1774575748-3,[Alnscorned Spire],249278,item:249278::::::::90:268::3:3:6652:13333:12786,Off spec,0,DRUID,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,23,|cnIQ4:|Hitem:193707:8038:::::::90:268::16:4:13440:6652:12701:12796:1:28:1279:::::|h[Final Grade]|h|r,,3,false,Staves,Two-Hand,,Garompinax-Ragnaros
Faithis-Stormrage,2026/03/26,21:24:00,1774578316-31,[Blooming Barklight Spaulders],249333,item:249333::::::::90:268::3:4:6652:13577:13333:12787:1:28:3607,Upgrade,0,DRUID,The Voidspire-Normal,Lightblinded Vanguard,14,2912,26,|cnIQ4:|Hitem:251146:8029:::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Scavenger's Spaulders]|h|r,,2,false,Leather,Shoulder,"lo pasaria a tier (mejor q lo tengo, q es nada)",Garompinax-Ragnaros
Faithis-Stormrage,2026/03/26,22:10:00,1774581131-54,[Voidcured Unraveled Nullcore],249364,item:249364::::::::90:268::3:3:13346:13340:13333,BIS,0,DRUID,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,19,|cnIQ4:|Hitem:251146:8029:::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Scavenger's Spaulders]|h|r,,1,false,Armor Token,,"no tengo tier, y con este saco las 4 peizas (tengo en bvoeda)",Garompinax-Ragnaros
Zàmael-Ragnaros,2026/03/18,23:26:00,1773894351-15,[Leggings of the Devouring Advance],249323,item:249323::::::::90:268::3:4:6652:13577:13333:12785,Off spec,0,WARLOCK,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:251205::::::::90:268::23:5:12779:13439:6652:12699:13577:1:28:3025:::::|h[Leyline Leggings]|h|r,,3,false,Cloth,Legs,,Garompinax-Ragnaros
Stickcoco-Area52,2026/03/18,23:52:00,1773895967-6,[Parasite Stompers],249332,item:249332::::::::90:268::3:4:6652:13577:13333:12786,Upgrade,1,DEATHKNIGHT,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:251169::::::::90:268::23:5:12785:13439:6652:13577:12699:1:28:3025:::::|h[Footwraps of Ill-Fate]|h|r,,2,false,Plate,Feet,,Garompinax-Ragnaros
Stickcoco-Area52,2026/03/25,23:56:00,1774501024-5,[Alnforged Riftbloom],249350,item:249350::::::::90:268::5:2:13334:13350,BIS,1,DEATHKNIGHT,The Dreamrift-Heroic,Chimaerus the Undreamt God,15,2939,23,|cnIQ4:|Hitem:50272:7987:::::::90:268::23:5:13439:6652:13577:12699:12790:1:28:3025:::::|h[Frost Wyrm Ribcage]|h|r,,1,false,Armor Token,,1era pieza,Garompinax-Ragnaros
Stickcoco-Area52,2026/03/26,21:01:00,1774576928-8,[Light-Judged Spaulders],249313,item:249313::::::::90:268::3:4:6652:13577:13333:12785,Off spec,0,DEATHKNIGHT,The Voidspire-Normal,Imperator Averzian,14,2912,26,|cnIQ4:|Hitem:258587::::::::90:268::23:5:13439:6652:13577:12699:12790:1:28:3025:::::|h[Spaulders of Scorching Ray]|h|r,,3,false,Plate,Shoulder,,Garompinax-Ragnaros
Stickcoco-Area52,2026/03/26,21:05:00,1774577167-12,[Light's March Bracers],249326,item:249326::::::::90:268::3:5:6652:12667:13577:13333:12785,Upgrade,0,DEATHKNIGHT,The Voidspire-Normal,Imperator Averzian,14,2912,26,|cnIQ4:|Hitem:251133::::::::90:268::23:6:13439:6652:12667:12699:13577:12782:1:28:3025:::::/h[Overseer's Vambraces]|h|r,,2,false,Plate,Wrist,,Garompinax-Ragnaros
Stickcoco-Area52,2026/03/26,21:05:00,1774577176-14,[Heart of Ancient Hunger],249342,item:249342::::::::90:268::3:3:6652:13333:12786,Upgrade,0,DEATHKNIGHT,The Voidspire-Normal,Vorasius,14,2912,26,|cnIQ4:|Hitem:249344::::::::90:268::4:3:6652:13332:12782::::::|h[Light Company Guidon]|h|r,|cnIQ4:|Hitem:264507::::::::90:268::42:1:12790:1:28:4240:::::|h[Crucible of Erratic Energies]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Stickcoco-Area52,2026/03/26,21:34:00,1774578930-34,[Arco corvo letal de capitán forestal],249288,item:249288::::::::90:252::150:4:6652:13332:12780:11215:1:28:3608,Personal Loot - Non tradeable,nil,DEATHKNIGHT,The Voidspire-Normal,Crown of the Cosmos,14,2912,20,,,PL,false,Bows,Ranged,,Stickcoco-Area52
Stickcoco-Area52,2026/03/26,21:49:00,1774579850-45,[Light-Judged Spaulders],249313,item:249313::::::::90:268::5:4:6652:13577:13334:12793,Upgrade,0,DEATHKNIGHT,The Voidspire-Heroic,Imperator Averzian,15,2912,26,|cnIQ4:|Hitem:258587::::::::90:268::23:5:13439:6652:13577:12699:12790:1:28:3025:::::|h[Spaulders of Scorching Ray]|h|r,,2,false,Plate,Shoulder,,Garompinax-Ragnaros
Balsbrew-Area52,2026/03/26,21:04:00,1774577149-11,[Blade of the Final Twilight],249281,item:249281::::::::90:268::150:4:6652:13332:12778:11215:1:28:3607,Personal Loot - Non tradeable,nil,MONK,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,26,,,PL,false,One-Handed Swords,One-Hand,,Balsbrew-Area52
Balsbrew-Area52,2026/03/26,21:17:00,1774577943-26,[Gloom-Spattered Dreadscale],249339,item:249339::::::::90:268::3:3:40:13333:12787,BIS,1,MONK,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,26,|cnIQ4:|Hitem:249345::::::::90:268::5:3:6652:13334:12798::::::|h[Ranger-Captain's Iridescent Insignia]|h|r,|cnIQ4:|Hitem:249343::::::::90:268::3:3:6652:13333:12790:1:28:4240:::::|h[Gaze of the Alnseer]|h|r,1,false,Miscellaneous,Trinket,para peleas aoe,Garompinax-Ragnaros
Balsbrew-Area52,2026/03/26,22:10:00,1774581138-55,[Voidcured Unraveled Nullcore],249364,item:249364::::::::90:268::5:3:13350:13340:13334,BIS,2,MONK,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,|cnIQ4:|Hitem:251146:8028:::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Scavenger's Spaulders]|h|r,,1,false,Armor Token,,misma pieza que el anterior primer tier,Garompinax-Ragnaros
Ignamite-Proudmoore,2026/03/26,21:15:00,1774577774-22,[Vaelgor's Final Stare],249346,item:249346::::::::90:72::150:4:6652:13332:12779:11215:1:28:3607,Personal Loot - Non tradeable,nil,WARRIOR,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,26,,,PL,false,Miscellaneous,Trinket,,Ignamite-Proudmoore
Delgrenfury-Ragnaros,2026/03/26,21:45:00,1774579627-39,[Robes of the Voidbound],249310,item:249310::::::::90:70::151:5:6652:13577:13333:12785:11215:1:28:3606,Personal Loot - Non tradeable,nil,PALADIN,The Voidspire-Heroic,Imperator Averzian,15,2912,26,,,PL,false,Mail,Chest,,Delgrenfury-Ragnaros
Delgrenfury-Ragnaros,2026/03/26,21:50:00,1774579893-46,[Imperator's Banner],249335,item:249335::::::::90:268::5:4:6652:13577:13334:12793,Upgrade,0,PALADIN,The Voidspire-Heroic,Imperator Averzian,15,2912,26,|cnIQ4:|Hitem:257175::::::::90:268::42:3:42:13577:12788:1:28:3320:::::|h[Voidbreaker's Wrap]|h|r,,2,false,Cloth,Back,,Garompinax-Ragnaros
Delgrenfury-Ragnaros,2026/03/26,22:11:00,1774581162-57,[Crown of the Fractured Tyrant],249316,item:249316::::::::90:268::5:5:6652:12667:13577:13334:12794,Upgrade,1,PALADIN,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,|cnIQ4:|Hitem:266432:7988:::::::90:268::42:2:13577:12788:1:28:4240:::::|h[Silvermoon Suncrest]|h|r,,2,false,Plate,Head,,Garompinax-Ragnaros
Frozzlef-Illidan,2026/03/26,20:43:00,1774575875-6,[Alncast Riftbloom],249349,item:249349::::::::90:268::3:2:13333:13346,BIS,0,EVOKER,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,23,|cnIQ4:|Hitem:249645::::::::90:268::109:3:12786:40:13577:1:28:6015:::::|h[Elder Mossmail]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Frozzlef-Illidan,2026/03/26,21:15:00,1774577811-23,[Vaelgor's Fearsome Grasp],249321,item:249321::::::::90:1467::150:5:6652:13577:13332:12779:11215:1:28:3607,Personal Loot - Non tradeable,nil,EVOKER,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,26,,,PL,false,Leather,Hands,,Frozzlef-Illidan
Frozzlef-Illidan,2026/03/26,21:58:00,1774580383-47,[Void-Skinned Bracers],249327,item:249327::::::::90:1467::151:6:6652:13534:13577:13333:12786:11215:1:28:3606,Personal Loot - Non tradeable,nil,EVOKER,The Voidspire-Heroic,Vorasius,15,2912,26,,,PL,false,Leather,Wrist,,Frozzlef-Illidan
Hoshiakatosh-Ragnaros,2026/03/26,21:22:00,1774578210-28,[Sable del veredicto ciego],249294,item:249294::::::::90:1473::150:4:6652:13332:12779:11215:1:28:3607,Personal Loot - Non tradeable,nil,EVOKER,The Voidspire-Normal,Lightblinded Vanguard,14,2912,26,,,PL,false,One-Handed Swords,One-Hand,,Hoshiakatosh-Ragnaros
Hoshiakatosh-Ragnaros,2026/03/26,22:12:00,1774581218-61,[Voidcast Corrupted Nullcore],249361,item:249361::::::::90:268::3:3:13347:13339:13333,BIS,1,EVOKER,The Voidspire-Heroic,Vaelgor & Ezzorak,15,2912,19,|cnIQ4:|Hitem:251170::::::::90:268::23:5:12779:13439:43:12699:13577:1:28:3025:::::|h[Wickedweave Trousers]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Caamii-Ragnaros,2026/03/18,23:25:00,1773894327-13,[Imperator's Banner],249335,item:249335::::::::90:268::3:4:6652:13577:13333:12785,Upgrade,2,MAGE,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ3:|Hitem:257022::::::::90:268::28:3:12772:6652:13578:1:28:3321:::::|h[Deepvine Shroud]|h|r,,2,false,Cloth,Back,,Garompinax-Ragnaros
Caamii-Ragnaros,2026/03/18,23:48:00,1773895750-1,[Dream-Scorched Striders],249373,item:249373::::::::90:268::3:4:6652:13577:13333:12786,Upgrade,1,MAGE,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:251167::::::::90:268::23:5:12785:13439:6652:13577:12699:1:28:3025:::::|h[Nightprey Stalkers]|h|r,,2,false,Cloth,Feet,,Garompinax-Ragnaros
Caamii-Ragnaros,2026/03/18,23:48:00,1773895766-3,[Tome of Alnscorned Regret],249922,item:249922::::::::90:268::3:3:6652:13333:12786,Upgrade,0,MAGE,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:251201::::::::90:268::23:4:13439:6652:12701:12782:1:28:3025:::::|h[Corespark Multitool]|h|r,,2,false,Miscellaneous,Held In Off-hand,,Garompinax-Ragnaros
Caamii-Ragnaros,2026/03/18,23:52:00,1773895972-7,[Despotic Raiment],249308,item:249308::::::::90:268::3:4:6652:13577:13333:12786,Upgrade,0,MAGE,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:251147::::::::90:268::23:5:13439:42:12699:13577:12781:1:28:3025:::::|h[Hoarded Harvest Wrap]|h|r,,2,false,Cloth,Chest,,Garompinax-Ragnaros
Caamii-Ragnaros,2026/03/26,21:45:00,1774579628-40,[Togas del unido al Vacío],249310,item:249310::::::::90:64::151:5:6652:13577:13333:12785:11215:1:28:3606,Personal Loot - Non tradeable,nil,MAGE,The Voidspire-Heroic,Imperator Averzian,15,2912,26,,,PL,false,Mail,Chest,,Caamii-Ragnaros
Caamii-Ragnaros,2026/03/26,21:59:00,1774580488-51,[Voracious Wristwraps],249315,item:249315::::::::90:268::5:5:6652:12667:13577:13334:12794,BIS,0,MAGE,The Voidspire-Heroic,Vorasius,15,2912,26,|cnIQ3:|Hitem:249636::::::::90:268::126:4:6652:12667:13578:12774:1:28:6011:::::|h[Sprawling Wristroots]|h|r,,1,false,Cloth,Wrist,"MUÑECAS 237, no me ha caido nada en M+",Garompinax-Ragnaros
Caamii-Ragnaros,2026/03/26,22:11:00,1774581199-60,[Voidwoven Hungering Nullcore],249351,item:249351::::::::90:268::3:3:13346:13337:13333,BIS,1,MAGE,The Voidspire-Heroic,Vorasius,15,2912,19,|cnIQ3:|Hitem:256980::::::::90:268::25:3:6652:13578:12774:1:28:3321:::::|h[Deepvine Grips]|h|r,,1,false,Armor Token,,completo 4 tiers ( ya tengo 2k de io ),Garompinax-Ragnaros
Garompinax-Ragnaros,2026/03/25,23:54:00,1774500914-0,[Greaves of the Unformed],249381,item:249381::::::::90:268::151:5:6652:13577:13333:12786:11215:1:28:3606,Personal Loot - Non tradeable,nil,MONK,The Dreamrift-Heroic,Chimaerus the Undreamt God,15,2939,23,,,PL,false,Plate,Feet,,Garompinax-Ragnaros
